"study","dataset","variable","label","concept"
"soep-fid","f11eltern2","f11e235d2","Kind zeigt Beduerfnis, anderen eine Freude zu machen","e2soz09"
"soep-fid","f12eltern2","f12e235d2","Kind zeigt Beduerfnis, anderen eine Freude zu machen","e2soz09"
"soep-fid","bioagel","sclr9","Child shows desire to make others feel happy","fid_sclr9"
"soep-fid","f10eltern6","f10e613a","Kind geht gerne in die Schule","item_7166"
"soep-fid","bioagel","scolcon1","Schl. cond.: likes to go to school","item_7166"
"soep-fid","f12eltern6","f12e613a","Kind geht gerne in die Schule","item_7166"
"soep-fid","bioage10p2","b10scolcon1","Schl. cond.: likes to go to school","item_7166"
"soep-fid","f10eltern5","f10e513a","Kind geht gerne in die Schule","item_7166"
"soep-fid","f12eltern5","f12e513a","Kind geht gerne in die Schule","item_7166"
"soep-fid","f11eltern5","f11e513a","Kind geht gerne in die Schule","item_7166"
"soep-fid","bioage08p1","b08scolcon1","Schl. cond.: likes to go to school","item_7166"
"soep-fid","bioage10p1","b10scolcon1","Schl. cond.: likes to go to school","item_7166"
"soep-fid","f11eltern6","f11e613a","Kind geht gerne in die Schule","item_7166"
"soep-fid","bioage08p2","b08scolcon1","Schl. cond.: likes to go to school","item_7166"
"soep-fid","bioage10p1","b10scolcon2","Schl. cond.: does not get along with classmates","item_7167"
"soep-fid","bioage08p2","b08scolcon2","Schl. cond.: does not get along with classmates","item_7167"
"soep-fid","bioagel","scolcon2","Schl. cond.: does not get along with classmates","item_7167"
"soep-fid","f11eltern6","f11e613b","Kind versteht sich nicht gut mit Klassenkameraden","item_7167"
"soep-fid","bioage08p1","b08scolcon2","Schl. cond.: does not get along with classmates","item_7167"
"soep-fid","bioage10p2","b10scolcon2","Schl. cond.: does not get along with classmates","item_7167"
"soep-fid","f10eltern6","f10e613b","Kind versteht sich nicht gut mit Klassenkameraden","item_7167"
"soep-fid","f11eltern5","f11e513b","Kind versteht sich nicht gut mit Klassenkameraden","item_7167"
"soep-fid","f10eltern5","f10e513b","Kind versteht sich nicht gut mit Klassenkameraden","item_7167"
"soep-fid","f12eltern5","f12e513b","Kind versteht sich nicht gut mit Klassenkameraden","item_7167"
"soep-fid","f12eltern6","f12e613b","Kind versteht sich nicht gut mit Klassenkameraden","item_7167"
"soep-fid","f10eltern6","f10e613c","Kind empfindet Schule als reine Zeitverschwendung","item_7168"
"soep-fid","f11eltern6","f11e613c","Kind empfindet Schule als reine Zeitverschwendung","item_7168"
"soep-fid","bioage10p1","b10scolcon3","Schl. cond.: thinks school is waste of time","item_7168"
"soep-fid","bioage08p1","b08scolcon3","Schl. cond.: thinks school is waste of time","item_7168"
"soep-fid","bioagel","scolcon3","Schl. cond.: thinks school is waste of time","item_7168"
"soep-fid","f10eltern5","f10e513c","Kind empfindet Schule als Zeitverschwendung","item_7168"
"soep-fid","bioage10p2","b10scolcon3","Schl. cond.: thinks school is waste of time","item_7168"
"soep-fid","f12eltern6","f12e613c","Kind empfindet Schule als reine Zeitverschwendung","item_7168"
"soep-fid","f12eltern5","f12e513c","Kind empfindet Schule als Zeitverschwendung","item_7168"
"soep-fid","bioage08p2","b08scolcon3","Schl. cond.: thinks school is waste of time","item_7168"
"soep-fid","f11eltern5","f11e513c","Kind empfindet Schule als Zeitverschwendung","item_7168"
"soep-fid","bioage10p2","b10scolcon4","Schl. cond.: does not take school work seriously","item_7169"
"soep-fid","bioagel","scolcon4","Schl. cond.: does not take school work seriously","item_7169"
"soep-fid","f12eltern6","f12e613d","Kind nimmt Arbeit in der Schule nie ernst","item_7169"
"soep-fid","bioage08p2","b08scolcon4","Schl. cond.: does not take school work seriously","item_7169"
"soep-fid","bioage10p1","b10scolcon4","Schl. cond.: does not take school work seriously","item_7169"
"soep-fid","f11eltern6","f11e613d","Kind nimmt Arbeit in der Schule nie ernst","item_7169"
"soep-fid","f11eltern5","f11e513d","Kind nimmt Arbeit in der Schule nie ernst","item_7169"
"soep-fid","f10eltern5","f10e513d","Kind nimmt Arbeit in der Schule nie ernst","item_7169"
"soep-fid","f12eltern5","f12e513d","Kind nimmt Arbeit in der Schule nie ernst","item_7169"
"soep-fid","bioage08p1","b08scolcon4","Schl. cond.: does not take school work seriously","item_7169"
"soep-fid","f10eltern6","f10e613d","Kind nimmt Arbeit in der Schule nie ernst","item_7169"
"soep-fid","f10eltern5","f10e513e","Kind kommt im Unterricht gut mit","item_7170"
"soep-fid","bioage10p1","b10scolcon5","Schl. cond.: follows lessons well","item_7170"
"soep-fid","f11eltern6","f11e613e","Kind kommt im Unterricht gut mit","item_7170"
"soep-fid","bioagel","scolcon5","Schl. cond.: follows lessons well","item_7170"
"soep-fid","bioage10p2","b10scolcon5","Schl. cond.: follows lessons well","item_7170"
"soep-fid","bioage08p2","b08scolcon5","Schl. cond.: follows lessons well","item_7170"
"soep-fid","f12eltern6","f12e613e","Kind kommt im Unterricht gut mit","item_7170"
"soep-fid","f12eltern5","f12e513e","Kind kommt im Unterricht gut mit","item_7170"
"soep-fid","f10eltern6","f10e613e","Kind kommt im Unterricht gut mit","item_7170"
"soep-fid","f11eltern5","f11e513e","Kind kommt im Unterricht gut mit","item_7170"
"soep-fid","bioage08p1","b08scolcon5","Schl. cond.: follows lessons well","item_7170"
"soep-fid","bioagel","scolcon6","Schl. cond.: does not get along w. teacher","item_7171"
"soep-fid","bioage10p2","b10scolcon6","Schl. cond.: does not get along w. teacher","item_7171"
"soep-fid","f12eltern6","f12e613f","Kind kommt mit Lehrer/-in nicht gut aus","item_7171"
"soep-fid","f11eltern6","f11e613f","Kind kommt mit Lehrer/-in nicht gut aus","item_7171"
"soep-fid","f10eltern6","f10e613f","Kind kommt mit Lehrer/-in nicht gut aus","item_7171"
"soep-fid","bioage08p2","b08scolcon6","Schl. cond.: does not get along w. teacher","item_7171"
"soep-fid","bioage10p1","b10scolcon6","Schl. cond.: does not get along w. teacher","item_7171"
"soep-fid","bioage08p1","b08scolcon6","Schl. cond.: does not get along w. teacher","item_7171"
"soep-fid","f11eltern5","f11e513f","Kind kommt mit Lehrer/in nicht gut aus","item_7171"
"soep-fid","f12eltern5","f12e513f","Kind kommt mit Lehrer/in nicht gut aus","item_7171"
"soep-fid","f10eltern5","f10e513f","Kind kommt mit Lehrer/in nicht gut aus","item_7171"
"soep-fid","f11eltern6","f11e613g","Kind lernt gerne","item_7172"
"soep-fid","bioagel","scolcon7","Schl. cond.: likes to study/has a zeal for learning","item_7172"
"soep-fid","bioage08p2","b08scolcon7","Schl. cond.: likes to study/has a zeal for learning","item_7172"
"soep-fid","f10eltern6","f10e613g","Kind lernt gerne","item_7172"
"soep-fid","f12eltern5","f12e513g","Kind lernt gerne","item_7172"
"soep-fid","bioage08p1","b08scolcon7","Schl. cond.: likes to study/has a zeal for learning","item_7172"
"soep-fid","bioage10p1","b10scolcon7","Schl. cond.: likes to study/has a zeal for learning","item_7172"
"soep-fid","bioage10p2","b10scolcon7","Schl. cond.: likes to study/has a zeal for learning","item_7172"
"soep-fid","f10eltern5","f10e513g","Kind lernt gerne","item_7172"
"soep-fid","f11eltern5","f11e513g","Kind lernt gerne","item_7172"
"soep-fid","f12eltern6","f12e613g","Kind lernt gerne","item_7172"
"soep-fid","bioage10p1","b10scolcon8","Schl. cond.: gets along w. classmates (SC 2010 only)","fid_scolcon8"
"soep-fid","bioage10p2","b10scolcon8","Schl. cond.: gets along w. classmates (SC 2010 only)","fid_scolcon8"
"soep-fid","bioage08p2","b08scolcon8","Schl. cond.: gets along w. classmates (SC 2010 only)","fid_scolcon8"
"soep-fid","bioagel","scolcon8","Schl. cond.: gets along w. classmates (SC 2010 only)","fid_scolcon8"
"soep-fid","bioage08p1","b08scolcon8","Schl. cond.: gets along w. classmates (SC 2010 only)","fid_scolcon8"
"soep-fid","bioage10p1","b10scolcon9","Schl. cond.: gets along w. teacher (SC 2010 only)","fid_scolcon9"
"soep-fid","bioage10p2","b10scolcon9","Schl. cond.: gets along w. teacher (SC 2010 only)","fid_scolcon9"
"soep-fid","bioage08p2","b08scolcon9","Schl. cond.: gets along w. teacher (SC 2010 only)","fid_scolcon9"
"soep-fid","bioagel","scolcon9","Schl. cond.: gets along w. teacher (SC 2010 only)","fid_scolcon9"
"soep-fid","bioage08p1","b08scolcon9","Schl. cond.: gets along w. teacher (SC 2010 only)","fid_scolcon9"
"soep-fid","bioage08p2","b08scoldura","Time in school in months","item_6169"
"soep-fid","bioage10p2","b10scoldura","Time in school in months","item_6169"
"soep-fid","bioage08p1","b08scoldura","Time in school in months","item_6169"
"soep-fid","bioage10p1","b10scoldura","Time in school in months","item_6169"
"soep-fid","bioagel","scoldura","Time in school in months","item_6169"
"soep-fid","bioage06","b06sex","Gender of child","item_5623"
"soep-fid","bioage08p2","b08sex","Gender of child","item_6174"
"soep-fid","bioagel","sex","Gender of child","psex"
"soep-fid","bioage10p2","b10sex","Gender of child","item_4534"
"soep-fid","bioage03","b03sex","Gender of child","item_4851"
"soep-fid","bioage10p1","b10sex","Gender of child","item_4534"
"soep-fid","biobirth","bbsex","Gender","item_4534"
"soep-fid","bioage08p1","b08sex","Gender of child","item_6174"
"soep-fid","bioage02","b02sex","Gender of child","item_4534"
"soep-fid","bioage01","b01sex","Gender of child","item_4534"
"soep-fid","bioage02","b02sexresp","Gender of respondent (parent)","item_4534"
"soep-fid","bioage08p2","b08sexresp","Gender of respondent (parent)","item_6175"
"soep-fid","bioage10p2","b10sexresp","Gender of respondent (parent)","item_4534"
"soep-fid","bioagel","sexresp","Gender of respondent (parent)","item_6742"
"soep-fid","bioage10p1","b10sexresp","Gender of respondent (parent)","item_4534"
"soep-fid","bioage06","b06sexresp","Gender of respondent (parent)","item_4534"
"soep-fid","bioage01","b01sexresp","Gender of respondent (parent)","item_4534"
"soep-fid","bioage03","b03sexresp","Gender of respondent (parent)","item_4534"
"soep-fid","bioage08p1","b08sexresp","Gender of respondent (parent)","item_6175"
"soep-fid","hpfad","singpa","Alleinerziehenden-HH beim ersten Kontakt","fid_singpa"
"soep-fid","f12eltern2","f12e235b1","Kind isst selbstaendig mit Loeffel ohne zu kleckern","item_4835"
"soep-fid","f10eltern2","f10e235b1","Kind isst selbstaendig mit Loeffel ohne zu kleckern","item_4835"
"soep-fid","f12eltern3","f12e335b1","Kind isst selbstaendig mit Loeffel ohne zu kleckern","item_4835"
"soep-fid","f11eltern3","f11e335b1","Kind isst selbstaendig mit Loeffel ohne zu kleckern","item_4835"
"soep-fid","f11eltern2","f11e235b1","Kind isst selbstaendig mit Loeffel ohne zu kleckern","item_4835"
"soep-fid","f10eltern3","f10e335b1","Kind isst selbstaendig mit Loeffel ohne zu kleckern","item_4835"
"soep-fid","bioage03","b03skll1","Child eats w. spoon w/o spilling","item_4835"
"soep-fid","bioagel","skll1","Child eats w. spoon w/o spilling","item_6865"
"soep-fid","bioage02","b02skll1","Child eats w. spoon w/o spilling","item_4835"
"soep-fid","bioage02","b02skll10","Child washes and dries its face w/o assistance","fid_skll10"
"soep-fid","f10eltern2","f10e235b7","Kind waescht u. trocknet Gesicht selbststaendig","e2all14"
"soep-fid","f11eltern2","f11e235b7","Kind waescht u. trocknet Gesicht selbststaendig","e2all14"
"soep-fid","f12eltern2","f12e235b7","Kind waescht u. trocknet Gesicht selbststaendig","e2all14"
"soep-fid","bioagel","skll10","Child washes and dries its face w/o assistance","fid_skll10"
"soep-fid","f12eltern2","f12e235b2","Kind putzt sich selbst die Nase","item_4836"
"soep-fid","f11eltern3","f11e335b2","Kind putzt sich selbst die Nase","item_4836"
"soep-fid","f10eltern2","f10e235b2","Kind putzt sich selbst die Nase","item_4836"
"soep-fid","bioage02","b02skll2","Child blows nose w/o assistance","item_4836"
"soep-fid","bioage03","b03skll2","Child blows nose w/o assistance","item_4836"
"soep-fid","f10eltern3","f10e335b2","Kind putzt sich selbst die Nase","item_4836"
"soep-fid","bioagel","skll2","Child blows nose w/o assistance","item_6866"
"soep-fid","f11eltern2","f11e235b2","Kind putzt sich selbst die Nase","item_4836"
"soep-fid","f12eltern3","f12e335b2","Kind putzt sich selbst die Nase","item_4836"
"soep-fid","f12eltern3","f12e335b3","Kind benuetzt fur grosses Geschaeft WC","item_4837"
"soep-fid","f11eltern3","f11e335b3","Kind benuetzt fur grosses Geschaeft WC","item_4837"
"soep-fid","f10eltern2","f10e235b3","Kind benuetzt fur grosses Geschaeft WC/Toepfchen","item_4837"
"soep-fid","f10eltern3","f10e335b3","Kind benuetzt fur grosses Geschaeft WC","item_4837"
"soep-fid","f12eltern2","f12e235b3","Kind benuetzt fur grosses Geschaeft WC/Toepfchen","item_4837"
"soep-fid","f11eltern2","f11e235b3","Kind benuetzt fur grosses Geschaeft WC/Toepfchen","item_4837"
"soep-fid","bioage02","b02skll3","Child uses toilet to do number two","item_4837"
"soep-fid","bioagel","skll3","Child uses toilet to do number two","item_6867"
"soep-fid","bioage03","b03skll3","Child uses toilet to do number two","item_4837"
"soep-fid","f12eltern3","f12e335b4","Kind zieht Hosen und Unterhosen selbst richtig an","item_4838"
"soep-fid","f11eltern3","f11e335b4","Kind zieht Hosen und Unterhosen selbst richtig an","item_4838"
"soep-fid","bioagel","skll4","Child puts on pants and underpants frontwards","item_6868"
"soep-fid","f10eltern3","f10e335b4","Kind zieht Hosen und Unterhosen selbst richtig an","item_4838"
"soep-fid","bioage03","b03skll4","Child puts on pants and underpants frontwards","item_4838"
"soep-fid","f11eltern3","f11e335b5","Kind putzt sich selbst die Zaehne","item_4839"
"soep-fid","bioage03","b03skll5","Child brushes teeth w/o assistance","item_4839"
"soep-fid","f10eltern3","f10e335b5","Kind putzt sich selbst die Zaehne","item_4839"
"soep-fid","f12eltern3","f12e335b5","Kind putzt sich selbst die Zaehne","item_4839"
"soep-fid","bioagel","skll5","Child brushes teeth w/o assistance","item_6869"
"soep-fid","bioage02","b02skll6","Child closes press buttons w/o assistance","fid_skll6"
"soep-fid","f10eltern2","f10e235b6","Kind macht Druckknoepfe selbst zu","e2all13"
"soep-fid","f11eltern2","f11e235b6","Kind macht Druckknoepfe selbst zu","e2all13"
"soep-fid","f12eltern2","f12e235b6","Kind macht Druckknoepfe selbst zu","e2all13"
"soep-fid","f10eltern3","f10e335b6","Kind macht Druckknoepfe selbst zu","e3all6"
"soep-fid","f12eltern3","f12e335b6","Kind macht Druckknoepfe selbst zu","e3all6"
"soep-fid","f11eltern3","f11e335b6","Kind macht Druckknoepfe selbst zu","e3all6"
"soep-fid","bioagel","skll6","Child closes press buttons w/o assistance","fid_skll6"
"soep-fid","bioage03","b03skll6","Child closes press buttons w/o assistance","fid_skll6"
"soep-fid","f10eltern3","f10e335b7","Kind bedeckt Mund u. Nase beim Niesen","e3all7"
"soep-fid","f12eltern3","f12e335b7","Kind bedeckt Mund u. Nase beim Niesen","e3all7"
"soep-fid","f11eltern3","f11e335b7","Kind bedeckt Mund u. Nase beim Niesen","e3all7"
"soep-fid","bioagel","skll7","Child covers mouth and nose when sneezing","fid_skll7"
"soep-fid","bioage03","b03skll7","Child covers mouth and nose when sneezing","fid_skll7"
"soep-fid","bioage02","b02skll8","Child takes off sweater/jacket w/o assistance","fid_skll8"
"soep-fid","f10eltern2","f10e235b4","Kind zieht offene Jacken, Pullover ohne Hilfe aus","e2all11"
"soep-fid","f11eltern2","f11e235b4","Kind zieht offene Jacken, Pullover ohne Hilfe aus","e2all11"
"soep-fid","f12eltern2","f12e235b4","Kind zieht offene Jacken, Pullover ohne Hilfe aus","e2all11"
"soep-fid","bioagel","skll8","Child takes off sweater/jacket w/o assistance","fid_skll8"
"soep-fid","bioage02","b02skll9","Child drinks f. a cup/glass w/o spilling","fid_skll9"
"soep-fid","f10eltern2","f10e235b5","Kind trinkt aus Tasse/Glas ohne zu kleckern","e2all12"
"soep-fid","f11eltern2","f11e235b5","Kind trinkt aus Tasse/Glas ohne zu kleckern","e2all12"
"soep-fid","f12eltern2","f12e235b5","Kind trinkt aus Tasse/Glas ohne zu kleckern","e2all12"
"soep-fid","bioagel","skll9","Child drinks f. a cup/glass w/o spilling","fid_skll9"
"soep-fid","f10eltern3","f10e335a1","Kind versteht kurze Anweisungen","item_4830"
"soep-fid","f11eltern3","f11e335a1","Kind versteht kurze Anweisungen","item_4830"
"soep-fid","f12eltern3","f12e335a1","Kind versteht kurze Anweisungen","item_4830"
"soep-fid","bioagel","spch1","Child understands brief instructions","item_6860"
"soep-fid","bioage03","b03spch1","Child understands brief instructions","item_4830"
"soep-fid","bioage02","b02spch10","Child can identify at least 5 body parts","fid_spch10"
"soep-fid","f10eltern2","f10e235a3","Kind zeigt auf mind. 5 kleinere Koerperteile falls aufgefordert","e2spr09"
"soep-fid","f11eltern2","f11e235a3","Kind zeigt auf mind. 5 kleinere Koerperteile falls aufgefordert","e2spr09"
"soep-fid","f12eltern2","f12e235a3","Kind zeigt auf mind. 5 kleinere Koerperteile falls aufgefordert","e2spr09"
"soep-fid","bioagel","spch10","Child can identify at least 5 body parts","fid_spch10"
"soep-fid","bioage02","b02spch11","Child can identfy daily-life-objects in a book","fid_spch11"
"soep-fid","f10eltern2","f10e235a4","Kind zeigt auf alltaegl. Objekte in Buch falls diese genannt","e2spr10"
"soep-fid","f11eltern2","f11e235a4","Kind zeigt auf alltaegl. Objekte in Buch falls diese genannt","e2spr10"
"soep-fid","f12eltern2","f12e235a4","Kind zeigt auf alltaegl. Objekte in Buch falls diese genannt","e2spr10"
"soep-fid","bioagel","spch11","Child can identfy daily-life-objects in a book","fid_spch11"
"soep-fid","bioage02","b02spch12","Child answers questions in words, or tries to","fid_spch12"
"soep-fid","f10eltern2","f10e235a5","Kind antwortet auf Frage mit Woertern/versucht es","e2spr11"
"soep-fid","f12eltern2","f12e235a5","Kind antwortet auf Frage mit Woertern/versucht es","e2spr11"
"soep-fid","f11eltern2","f11e235a5","Kind antwortet auf Frage mit Woertern/versucht es","e2spr11"
"soep-fid","bioagel","spch12","Child answers questions in words, or tries to","fid_spch12"
"soep-fid","bioage02","b02spch13","Child can name at least 10 objects","fid_spch13"
"soep-fid","f11eltern2","f11e235a6","Kind nennt mind. 10 Objekte","e2spr12"
"soep-fid","f10eltern2","f10e235a6","Kind nennt mind. 10 Objekte","e2spr12"
"soep-fid","f12eltern2","f12e235a6","Kind nennt mind. 10 Objekte","e2spr12"
"soep-fid","bioagel","spch13","Child can name at least 10 objects","fid_spch13"
"soep-fid","bioage02","b02spch14","Child can describe things in simple words","fid_spch14"
"soep-fid","f11eltern2","f11e235a7","Kind beschreibt Dinge mit einfachen Woertern","e2spr13"
"soep-fid","f10eltern2","f10e235a7","Kind beschreibt Dinge mit einfachen Woertern","e2spr13"
"soep-fid","f12eltern2","f12e235a7","Kind beschreibt Dinge mit einfachen Woertern","e2spr13"
"soep-fid","bioagel","spch14","Child can describe things in simple words","fid_spch14"
"soep-fid","f11eltern3","f11e335a2","Kind bildet Saetze mit min. 2 Woertern","item_4831"
"soep-fid","f12eltern3","f12e335a2","Kind bildet Saetze mit min. 2 Woertern","item_4831"
"soep-fid","bioage03","b03spch2","Child forms sentences with at least two words","item_4831"
"soep-fid","f10eltern3","f10e335a2","Kind bildet Saetze mit min. 2 Woertern","item_4831"
"soep-fid","bioagel","spch2","Child forms sentences with at least two words","item_6861"
"soep-fid","f10eltern3","f10e335a3","Kind spricht in ganzen Saetzen","item_4832"
"soep-fid","bioage03","b03spch3","Child speaks in full sentences (at least four words)","item_4832"
"soep-fid","f11eltern3","f11e335a3","Kind spricht in ganzen Saetzen","item_4832"
"soep-fid","bioagel","spch3","Child speaks in full sentences (at least four words)","item_6862"
"soep-fid","f12eltern3","f12e335a3","Kind spricht in ganzen Saetzen","item_4832"
"soep-fid","bioage03","b03spch4","Child attends orders given by someone 5 minutes ago","item_7205"
"soep-fid","bioagel","spch4","Child attends orders given by someone 5 minutes ago","item_6863"
"soep-fid","f12eltern3","f12e335a4","Kind folgt Anweisungen, die es 5 Min. vorher gehoert hat","item_7205"
"soep-fid","f10eltern3","f10e335a4","Kind folgt Anweisungen, die es 5 Min. vorher gehoert hat","item_7205"
"soep-fid","f11eltern3","f11e335a4","Kind folgt Anweisungen, die es 5 Min. vorher gehoert hat","item_7205"
"soep-fid","f12eltern3","f12e335a5","Kind nennt auf Nachfrage Vor- und Nachnamen","item_7206"
"soep-fid","f11eltern3","f11e335a5","Kind nennt auf Nachfrage Vor- und Nachnamen","item_7206"
"soep-fid","bioage03","b03spch5","When asked, child gives first and last name","item_7206"
"soep-fid","bioagel","spch5","When asked, child gives first and last name","item_6864"
"soep-fid","f10eltern3","f10e335a5","Kind nennt auf Nachfrage Vor- und Nachnamen","item_7206"
"soep-fid","f10eltern3","f10e335a6","Kind ueberbringt einfache Nachrichten","item_4834"
"soep-fid","bioagel","spch6","Child is able to inform others w. simple messages","item_7150"
"soep-fid","f11eltern3","f11e335a6","Kind ueberbringt einfache Nachrichten","item_4834"
"soep-fid","bioage03","b03spch6","Child is able to inform others w. simple messages","item_4834"
"soep-fid","f12eltern3","f12e335a6","Kind ueberbringt einfache Nachrichten","item_4834"
"soep-fid","f12eltern3","f12e335a7","Kind hoert Geschichten mind. 15 Min. aufmerksam zu","item_7151"
"soep-fid","f10eltern3","f10e335a7","Kind hoert Geschichten mind. 15 Min. aufmerksam zu","item_7151"
"soep-fid","bioagel","spch7","Child listens attentively to story f. at least 15 min.","item_7151"
"soep-fid","bioage03","b03spch7","Child listens attentively to story f. at least 15 min.","item_7151"
"soep-fid","f11eltern3","f11e335a7","Kind hoert Geschichten mind. 15 Min. aufmerksam zu","item_7151"
"soep-fid","f11eltern2","f11e235a1","Kind folgt Anweisungen mit 2 Handlungen bzw. 2 Objekten","item_7152"
"soep-fid","bioage02","b02spch8","Child follows brief instructions w. simple tasks","item_7152"
"soep-fid","f10eltern2","f10e235a1","Kind folgt Anweisungen mit 2 Handlungen bzw. 2 Objekten","item_7152"
"soep-fid","f12eltern2","f12e235a1","Kind folgt Anweisungen mit 2 Handlungen bzw. 2 Objekten","item_7152"
"soep-fid","bioagel","spch8","Child follows brief instructions w. simple tasks","item_7152"
"soep-fid","bioage02","b02spch9","Child listens attentively to story f. at least 5 min.","fid_spch9"
"soep-fid","f10eltern2","f10e235a2","Kind hoert Geschichten mind. 5 Minuten aufmerksam zu","e2spr05"
"soep-fid","f12eltern2","f12e235a2","Kind hoert Geschichten mind. 5 Minuten aufmerksam zu","e2spr05"
"soep-fid","f11eltern2","f11e235a2","Kind hoert Geschichten mind. 5 Minuten aufmerksam zu","e2spr05"
"soep-fid","bioagel","spch9","Child listens attentively to story f. at least 5 min.","fid_spch9"
"soep-fid","bioage10p1","b10specned1","Special needs: learning","fid_specned1"
"soep-fid","bioage10p2","b10specned1","Special needs: learning","fid_specned1"
"soep-fid","f10eltern6","f10e614a","Foerderbedarf: Beeintraechtigungen beim Lernen","e6son1"
"soep-fid","f11eltern6","f11e614a","Foerderbedarf: Beeintraechtigungen beim Lernen","e6son1"
"soep-fid","f10eltern5","f10e512a","Foerderbedarf: Beeintraechtigungen beim Lernen","e5son1"
"soep-fid","f11eltern5","f11e512a","Foerderbedarf: Beeintraechtigungen beim Lernen","e5son1"
"soep-fid","f12eltern6","f12e616a","Foerderbedarf: Beeintraechtigungen beim Lernen","e6son1"
"soep-fid","bioage08p1","b08specned1","Special needs: learning","fid_specned1"
"soep-fid","f12eltern5","f12e512a","Foerderbedarf: Beeintraechtigungen beim Lernen","e5son1"
"soep-fid","bioage08p2","b08specned1","Special needs: learning","fid_specned1"
"soep-fid","bioagel","specned1","Special needs: learning","fid_specned1"
"soep-fid","bioage10p1","b10specned2","Special needs: linguistic","fid_specned2"
"soep-fid","bioage10p2","b10specned2","Special needs: linguistic","fid_specned2"
"soep-fid","f10eltern6","f10e614b","Foerderbedarf: sprachliche Beeintraechtigungen","e6son2"
"soep-fid","f11eltern6","f11e614b","Foerderbedarf: sprachliche Beeintraechtigungen","e6son2"
"soep-fid","f10eltern5","f10e512b","Foerderbedarf: sprachliche Beeintraechtigungen","e5son2"
"soep-fid","f11eltern5","f11e512b","Foerderbedarf: sprachliche Beeintraechtigungen","e5son2"
"soep-fid","f12eltern6","f12e616b","Foerderbedarf: sprachliche Beeintraechtigungen","e6son2"
"soep-fid","bioage08p2","b08specned2","Special needs: linguistic","fid_specned2"
"soep-fid","f12eltern5","f12e512b","Foerderbedarf: sprachliche Beeintraechtigungen","e5son2"
"soep-fid","bioagel","specned2","Special needs: linguistic","fid_specned2"
"soep-fid","bioage08p1","b08specned2","Special needs: linguistic","fid_specned2"
"soep-fid","bioage10p1","b10specned3","Special needs: behavior/experience","fid_specned3"
"soep-fid","bioage10p2","b10specned3","Special needs: behavior/experience","fid_specned3"
"soep-fid","f10eltern6","f10e614c","Foerderbedarf: Stoerungen des Verhaltens/Erlebens","e6son3"
"soep-fid","f11eltern6","f11e614c","Foerderbedarf: Stoerungen des Verhaltens/Erlebens","e6son3"
"soep-fid","f10eltern5","f10e512c","Foerderbedarf: Stoerungen des Verhaltens/Erlebens","e5son3"
"soep-fid","f11eltern5","f11e512c","Foerderbedarf: Stoerungen des Verhaltens/Erlebens","e5son3"
"soep-fid","f12eltern6","f12e616c","Foerderbedarf: Stoerungen des Verhaltens/Erlebens","e6son3"
"soep-fid","f12eltern5","f12e512c","Foerderbedarf: Stoerungen des Verhaltens/Erlebens","e5son3"
"soep-fid","bioage08p2","b08specned3","Special needs: behavior/experience","fid_specned3"
"soep-fid","bioagel","specned3","Special needs: behavior/experience","fid_specned3"
"soep-fid","bioage08p1","b08specned3","Special needs: behavior/experience","fid_specned3"
"soep-fid","bioage10p1","b10specned4","Special needs: mental","fid_specned4"
"soep-fid","bioage10p2","b10specned4","Special needs: mental","fid_specned4"
"soep-fid","f10eltern6","f10e614d","Foerderbedarf: geistige Behinderung","e6son4"
"soep-fid","f11eltern6","f11e614d","Foerderbedarf: geistige Behinderung","e6son4"
"soep-fid","f10eltern5","f10e512d","Foerderbedarf: geistige Behinderung","e5son4"
"soep-fid","f11eltern5","f11e512d","Foerderbedarf: geistige Behinderung","e5son4"
"soep-fid","f12eltern6","f12e616d","Foerderbedarf: geistige Behinderung","e6son4"
"soep-fid","f12eltern5","f12e512d","Foerderbedarf: geistige Behinderung","e5son4"
"soep-fid","bioagel","specned4","Special needs: mental","fid_specned4"
"soep-fid","bioage08p2","b08specned4","Special needs: mental","fid_specned4"
"soep-fid","bioage08p1","b08specned4","Special needs: mental","fid_specned4"
"soep-fid","bioage10p1","b10specned5","Special needs: amplyopia (eyes)","fid_specned5"
"soep-fid","bioage10p2","b10specned5","Special needs: amplyopia (eyes)","fid_specned5"
"soep-fid","f10eltern6","f10e614e","Foerderbedarf: Sehschaedigung","e6son5"
"soep-fid","f11eltern6","f11e614e","Foerderbedarf: Sehschaedigung","e6son5"
"soep-fid","f10eltern5","f10e512e","Foerderbedarf: Sehschaedigung","e5son5"
"soep-fid","f11eltern5","f11e512e","Foerderbedarf: Sehschaedigung","e5son5"
"soep-fid","f12eltern6","f12e616e","Foerderbedarf: Sehschaedigung","e6son5"
"soep-fid","bioagel","specned5","Special needs: amplyopia (eyes)","fid_specned5"
"soep-fid","f12eltern5","f12e512e","Foerderbedarf: Sehschaedigung","e5son5"
"soep-fid","bioage08p1","b08specned5","Special needs: amplyopia (eyes)","fid_specned5"
"soep-fid","bioage08p2","b08specned5","Special needs: amplyopia (eyes)","fid_specned5"
"soep-fid","bioage10p1","b10specned6","Special needs: hearing","fid_specned6"
"soep-fid","bioage10p2","b10specned6","Special needs: hearing","fid_specned6"
"soep-fid","f10eltern6","f10e614f","Foerderbedarf: Hoerschaedigung","e6son6"
"soep-fid","f11eltern6","f11e614f","Foerderbedarf: Hoerschaedigung","e6son6"
